,Total number of license issued,?lowest price ,avg price,Total number of applicants,Date_digit
0,1400,13600,14735,3718,0
1,1800,13100,14057,4590,1
2,2000,14300,14662,5190,2
3,2300,16000,16334,4806,3
4,2350,17800,18357,4665,4
5,2800,19600,20178,4502,5
6,3000,19800,20904,3774,6
7,3000,21000,21601,4640,7
8,3200,23600,24040,4393,8
9,3200,26400,27040,4661,9
10,3200,30800,31721,4021,10
11,3600,27800,27848,3525,11
12,3000,18800,24267,9442,12
13,3000,23800,25254,12030,13
14,3000,28800,29551,11219,14
15,3300,34100,34845,8794,15
16,3800,35000,36903,14634,16
17,5500,36100,37667,15507,17
18,6000,36900,38269,11929,18
19,4500,38500,39369,9315,19
20,6650,28800,38728,8532,20
21,4500,32800,34842,9383,21
22,5042,33100,34284,9849,22
23,4776,37100,38054,10491,23
24,5000,38000,39516,8663,24
25,4800,39600,40053,10156,25
26,4800,43000,43333,9950,26
27,5500,44200,45492,8150,27
28,6527,10800,34226,8114,28
29,6233,17800,21001,19233,29
30,6600,21800,23544,14464,30
31,6800,25100,25991,15506,31
32,6640,29300,30033,10634,32
33,6600,28000,29768,9519,33
34,6600,26000,27620,9188,34
35,5500,29300,30282,9005,35
36,5500,28500,32520,6208,36
37,3800,31700,32425,8949,37
38,4000,34300,34684,9117,38
39,5000,36800,37355,8113,39
40,5833,35000,35661,9673,40
41,5690,37000,37479,8409,41
42,6326,37900,38378,8777,42
43,6829,25000,35905,7520,43
44,6700,26500,28927,10972,44
45,6000,25200,26385,11167,45
46,5700,29800,30320,13633,46
47,5700,35200,36749,8351,47
48,5000,26900,31220,5907,48
49,3800,34200,34887,12367,49
50,4500,38500,38932,8904,50
51,5000,37500,38326,7888,51
52,4500,37700,38139,8301,52
53,4500,39500,39752,8478,53
54,5500,39600,39966,8966,54
55,6200,39900,40459,9190,55
56,6500,37000,41601,7064,56
57,6500,36300,37899,11237,57
58,6000,37800,38460,110234,58
59,6500,39800,40518,9477,59
60,6000,38500,40974,6587,60
61,3500,39100,40473,5056,61
62,4000,41100,41573,10168,62
63,5500,43300,43623,10523,63
64,6000,44500,44853,10273,64
65,6000,47200,47711,11478,65
66,5500,45200,46581,10327,66
67,8000,46500,46897,12943,67
68,8500,48600,49631,10561,68
69,7500,50500,51000,10715,69
70,7500,53800,54317,10596,70
71,7500,50000,56042,10356,71
72,16000,8100,23370,20539,72
73,9300,31300,32169,63534,73
74,9000,37300,37659,37072,74
75,8200,34400,36047,26341,75
76,7700,33900,34947,21208,76
77,6800,33800,34491,16783,77
78,6000,35900,36460,13451,78
79,6500,29300,31788,11002,79
80,5000,32600,33224,11882,80
81,5500,21800,24351,10170,81
82,4500,31000,31665,16801,82
83,5200,28600,29399,16544,83
84,5200,33000,33394,16848,84
85,6000,26600,27552,18575,85
86,6500,28300,28724,17654,86
87,7200,28500,29100,16471,87
88,8000,30000,30363,17433,88
89,8000,32100,32522,17220,89
90,8000,36000,36231,18750,90
91,8500,27200,29500,14906,91
92,8000,33900,34402,22006,92
93,8000,34900,35317,21902,93
94,8000,36900,37593,18577,94
95,8000,37800,38311,18975,95
96,7500,38300,38620,18810,96
97,8000,39600,39882,17704,97
98,8500,41000,41637,17313,98
99,8500,41900,42262,16324,99
100,9200,39200,40380,16252,100
101,9000,38400,39362,13389,101
102,9000,39800,40169,16855,102
103,9000,41800,42180,15198,103
104,9000,43000,43271,14941,104
105,8500,44900,45291,13429,105
106,9000,10400,15970,11224,106
107,8000,38300,38771,30675,107
108,7500,44200,44627,25104,108
109,8000,46200,46657,25014,109
110,8000,46300,47399,22326,110
111,9000,47400,47700,25708,111
112,9000,48500,48855,22474,112
113,9000,50900,51174,21852,113
114,9000,51000,52228,21544,114
115,9500,52200,52622,22268,115
116,9000,53800,54008,19415,116
117,9000,45700,47635,20050,117
118,8500,51000,51437,26531,118
119,8000,52800,53195,24354,119
120,8000,55400,55632,23391,120
121,8000,58300,58625,24897,121
122,8500,61000,61626,22706,122
123,9300,64000,64367,24230,123
124,9500,55800,58227,24774,124
125,9500,57700,58271,26526,125
126,9500,62100,62559,21425,126
127,9500,65700,66425,19114,127
128,9500,65200,66708,19921,128
129,9500,66400,66946,19120,129
130,9500,68900,69346,18244,130
131,9000,75000,75332,20857,131
132,9000,83300,83571,24651,132
133,9000,90800,91898,23589,133
134,11000,83900,84101,26174,134
135,9000,80700,80803,22224,135
136,9000,77600,77823,21482,136
137,9000,76300,76465,21811,137
138,9000,74700,74939,22650,138
139,9000,73400,73492,35154,139
140,10000,82300,83723,28887,140
141,8500,75500,75717,38220,141
142,8500,76000,76093,39625,142
143,8100,73500,73501,41946,143
144,7400,73200,73357,45758,144
145,7400,73800,73872,61853,145
146,8200,74000,74113,94241,146
147,7400,74400,74503,114121,147
148,7400,73800,73896,135677,148
149,7400,74600,74680,136098,149
150,7400,73600,73785,121550,150
151,8300,73800,73875,122219,151
152,7400,74000,74075,105532,152
153,7400,73500,73633,95595,153
154,7447,73600,73687,96972,154
155,7990,74000,74216,98203,155
156,7653,76500,76618,103224,156
157,7406,74600,74830,132690,157
158,8288,80600,80759,152298,158
159,7482,79000,79099,156007,159
160,7441,80000,80020,172205,160
161,7531,83100,83171,166302,161
162,7454,82600,82642,166939,162
163,8727,82100,82172,165765,163
164,7763,85300,85424,170995,164
165,7514,84600,84703,169159,165
166,7698,84500,84572,179133,166
167,9409,82200,82352,187533,167
168,8363,83200,83244,196470,168
169,8310,83100,83148,221109,169
170,11829,85100,85127,256897,170
171,11598,85000,85058,277889,171
172,11546,84400,84483,275438,172
173,11475,87200,87235,240750,173
174,11549,86900,86946,251188,174
175,12889,86500,86523,229544,175
176,11621,88300,88359,213212,176
177,11549,88600,88665,215424,177
178,12261,88300,88412,219882,178
179,12215,87600,87685,232101,179
180,10157,88200,88240,251717,180
181,10356,87800,87916,262010,181
182,12196,89800,89850,252273,182
183,10316,90100,90209,270197,183
184,10312,89400,89532,244349,184
185,10325,92200,92250,269189,185
186,10558,91600,91629,256083,186
187,12413,91300,91415,250566,187
188,11388,93500,93540,244868,188
189,11002,93100,93130,226911,189
190,12147,92800,92848,228148,190
191,12183,87900,87936,226316,191
192,11098,87600,87660,220831,192
193,9855,88100,88176,217056,193
194,11916,86900,87089,204980,194
195,10216,89000,89018,198627,195
196,10775,87800,87900,209672,196
197,10395,88300,88380,202337,197
